0,0,56.7,3.857,4.194,6.045,6.681
0,0,56.8,3.878,4.217,6.078,6.717
0,0,56.9,3.898,4.239,6.11,6.753
0,0,57,3.919,4.262,6.143,6.789
0,0,57.1,3.939,4.284,6.175,6.824
0,0,57.2,3.96,4.306,6.207,6.86
0,0,57.3,3.98,4.329,6.24,6.896
0,0,57.4,4.001,4.351,6.272,6.932
0,0,57.5,4.021,4.373,6.304,6.968
0,0,57.6,4.042,4.396,6.337,7.003
0,0,57.7,4.062,4.418,6.369,7.039
0,0,57.8,4.083,4.44,6.401,7.075
0,0,57.9,4.103,4.463,6.434,7.111
0,0,58,4.124,4.485,6.466,7.146
0,0,58.1,4.144,4.507,6.498,7.182
0,0,58.2,4.165,4.529,6.53,7.218
0,0,58.3,4.185,4.552,6.562,7.253
0,0,58.4,4.205,4.574,6.594,7.289
0,0,58.5,4.226,4.596,6.626,7.324
0,0,58.6,4.246,4.618,6.659,7.36
0,0,58.7,4.266,4.64,6.69,7.395
0,0,58.8,4.287,4.662,6.722,7.43
0,0,58.9,4.307,4.684,6.754,7.465
0,0,59,4.327,4.706,6.786,7.5
0,0,59.1,4.347,4.728,6.818,7.535
0,0,59.2,4.367,4.75,6.849,7.571
0,0,59.3,4.387,4.772,6.881,7.605
0,0,59.4,4.407,4.794,6.912,7.64
0,0,59.5,4.427,4.815,6.944,7.675
0,0,59.6,4.447,4.837,6.975,7.71
0,0,59.7,4.467,4.859,7.006,7.744
0,0,59.8,4.487,4.88,7.037,7.779
0,0,59.9,4.507,4.902,7.068,7.813
0,0,60,4.527,4.923,7.099,7.847
0,0,60.1,4.546,4.945,7.13,7.881
0,0,60.2,4.566,4.966,7.161,7.915
0,0,60.3,4.585,4.987,7.192,7.95
0,0,60.4,4.605,5.009,7.223,7.983
0,0,60.5,4.624,5.03,7.253,8.017
0,0,60.6,4.644,5.051,7.284,8.051
0,0,60.7,4.663,5.072,7.314,8.085
0,0,60.8,4.683,5.093,7.344,8.118
0,0,60.9,4.702,5.114,7.375,8.152
0,0,61,4.721,5.135,7.405,8.185
0,0,61.1,4.74,5.156,7.435,8.218
0,0,61.2,4.76,5.177,7.465,8.251
0,0,61.3,4.779,5.198,7.495,8.285
0,0,61.4,4.798,5.218,7.525,8.318
0,0,61.5,4.817,5.239,7.555,8.351
0,0,61.6,4.836,5.26,7.585,8.384
0,0,61.7,4.855,5.28,7.614,8.416
0,0,61.8,4.874,5.301,7.644,8.449
0,0,61.9,4.893,5.322,7.673,8.482
